,_state,id,book_id,books_count,isbn,author,original_publication_year,original_title,title,lang_code,average_rating,image_url,small_image_url,image
0,<django.db.models.base.ModelState object at 0x000002165804CC40>,1,1,1053,123,qwwe,1232,qweqe,qweqer,eng,4.0,1,1,1
1,<django.db.models.base.ModelState object at 0x00000216581211C0>,2,2,1053,123,tetter,123,qweqe,t4t4,eng,4.0,1,1,1
2,<django.db.models.base.ModelState object at 0x0000021658121250>,3,41865,226,316015849,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",en-US,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,https://images.gr-assets.com/books/1361039443m/41865.jpg
3,<django.db.models.base.ModelState object at 0x00000216581212E0>,4,2657,487,61120081,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,https://images.gr-assets.com/books/1361975680m/2657.jpg
4,<django.db.models.base.ModelState object at 0x0000021658121370>,5,4671,1356,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,eng,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,https://images.gr-assets.com/books/1490528560m/4671.jpg
5,<django.db.models.base.ModelState object at 0x0000021658121400>,6,11870085,226,525478817,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,https://images.gr-assets.com/books/1360206420m/11870085.jpg
6,<django.db.models.base.ModelState object at 0x0000021658121490>,7,5907,969,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,https://images.gr-assets.com/books/1372847500m/5907.jpg
7,<django.db.models.base.ModelState object at 0x0000021658121520>,8,5107,360,316769177,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,https://images.gr-assets.com/books/1398034300m/5107.jpg
8,<django.db.models.base.ModelState object at 0x00000216581215B0>,9,960,311,1416524797,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,https://images.gr-assets.com/books/1303390735m/960.jpg
9,<django.db.models.base.ModelState object at 0x0000021658121640>,10,1885,3455,679783261,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,eng,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,https://images.gr-assets.com/books/1320399351m/1885.jpg
